id_producto,marca_producto,nombre_producto,sku,precio,costo,peso,sin_aditivos,bajo_en_calorías
169, La Rosa, Pepinos frescos,125340447247-3,2.27,0.8,20.5,1,
170, La Rosa, Ketchup,133238671958-6,3.67,1.63,10,,
171, Don Carlos, Salsa de barbacoa,176622041285-2,3.38,1.44,19.6,,
172, Don Carlos, Mantequilla de almendras,43122566639-8,3.8,1.17,16.9,,1
173, Don Carlos, Tostadas de trigo,167777899086-7,1.64,0.68,23,,
174, Don Carlos, Almendras naturales,115550387560-6,1.96,0.7,14.1,1,
175, Don Carlos, Pan blanco,224427481710-5,4.41,1.79,7.2,1,1
176, Don Carlos, Berenjenas,101446832596-4,2.6,0.85,12.7,1,
177, Don Carlos, Helado de fresa,84595889866-6,1.9,0.92,11,,
178, Don Carlos, Zanahorias frescas,97862103164-2,1.52,0.46,20.5,1,1
179, Don Carlos, Pimientos amarillos,191458828507-9,3.15,1,20.7,,1
180, Don Carlos, Mermelada de fresa,78997004924-8,0.79,0.36,12.9,,
181, Don Carlos, Cereal de maíz,182614686310-2,1.07,0.4,16.9,,1
182, Don Carlos, Pimientos naranjas,206399725139-1,2.11,0.75,9.5,,1
183, Don Carlos, Yogur de frutas,184289369642-8,2.76,1.18,7.4,1,
184, Don Carlos, Jugo de piña,192296170173-6,3.9,1.89,21,1,1
185, Don Carlos, Pimientos amarillos,99432677088-4,0.65,0.25,9.8,1,
186, Don Carlos, Aceite de oliva,188711440741-8,2.55,1.19,19.6,,
187, Don Carlos, Refresco de toronja,25094810068-4,1.51,0.48,15.5,,1
188, Don Carlos, Salsa de pescado,43620436130-1,2.96,0.91,15.4,1,1
189, Don Carlos, Guisantes congelados,142476574242-7,3.95,1.4,8.9,1,
190, Don Carlos, Pimientos amarillos,90249062716-3,4.28,1.7,19.6,1,1
191, Don Carlos, Galletas de avena,199126156864-8,3.29,1.2,13.2,1,
192, Don Carlos, Berenjenas,76145507752-7,1.74,0.69,11.2,,1
193, Don Carlos, Vinagre balsámico,59294565020-7,4.22,1.83,12.4,1,
194, Don Carlos, Jugo de arándano,72560778318-4,3.85,1.45,12.2,1,1
195, Don Carlos, Café colombiano,191956698000-3,2.03,0.62,9.2,,1
196, Don Carlos, Salsa de tomate,134469773709-5,2.83,0.89,12.7,1,1
197, Don Carlos, Yogur de vainilla,183112555801-2,3.33,1.65,22.6,,1
198, Don Carlos, Cereal de maíz,181098400293-8,1.05,0.35,18.1,1,1
199, Don Carlos, Galletas integrales,158988044796-8,1.91,0.83,20.2,1,
200, Don Carlos, Jugo de arándano,166994845329-8,3.04,1.47,7.1,,
201, Don Carlos, Refresco de toronja,74131352245-8,2.58,1,15.4,,
202, Don Carlos, Sopa de verduras,163410115897-6,1.71,0.79,12.4,,
203, Don Carlos, Mantequilla de coco,206793485224-3,0.72,0.23,9.3,1,
204, Don Carlos, Sopa de tomate,225319111286-7,1.83,0.7,14.3,,
205, Don Carlos, Pechuga de pavo,197949343025-6,3.1,1.42,14.6,1,
206, Don Carlos, Pimientos rojos,116546126544-8,2.42,1.01,11.4,,1
207, Don Carlos, Salchichas,225423220692-9,1.42,0.62,14.2,1,1
208, Don Carlos, Almendras naturales,102442571580-1,2.83,1.26,14.1,1,1
209, Don Carlos, Mantequilla de almendras,85591628848-3,2.14,0.66,18.2,1,
210, Don Carlos, Huevos orgánicos,98857842145-5,1.76,0.62,17.9,,1
211, Don Carlos, Galletas de avena,218253761828-3,3.12,1.38,15.2,1,
212, Don Carlos, Lentejas secas,160766837537-1,1.9,0.66,10.3,,
213, Don Carlos, Pechuga de pavo,209409619628-1,0.64,0.22,7.6,1,
214, Don Carlos, Pan integral,81169557750-9,3.23,1.21,22.7,1,1
215, Tía María, Queso fresco,184678663312-8,0.91,0.37,14.8,1,
216, Tía María, Mantequilla de maní,192685463844-8,4.12,1.68,22.4,1,1
217, La Fortuna, Yogur de vainilla,44847071468-8,0.78,0.33,16.8,1,
218, La Fortuna, Agua mineral,189100734412-5,3.94,1.87,17,,
219, La Fortuna, Almendras naturales,25484103739-8,2.89,0.94,21.6,1,1
220, La Fortuna, Guisantes congelados,44009729801-1,2.92,0.87,12.8,,1
221, La Fortuna, Tofu orgánico,223639961540-4,4.19,1.62,16,,
222, La Fortuna, Cereal de arroz,171412450014-8,4.53,1.38,15.8,,1
223, La Fortuna, Jugo de manzana,225314644873-2,3.65,1.45,21.3,1,
224, La Fortuna, Tomates maduros,76534801421-8,1.98,0.69,8.7,,
225, La Fortuna, Helado de vainilla,59683858692-8,4.46,2.12,20.8,,
226, La Fortuna, Pimientos rojos,72950071989-9,0.87,0.37,10.9,1,1
227, La Fortuna, Jugo de manzana,192345991669-1,2.27,0.98,16.5,,1
228, La Fortuna, Galletas de avena,134859067378-2,0.94,0.46,9.1,,1
229, La Fortuna, Galletas integrales,183501849472-8,2.55,1.13,14.3,,
230, La Fortuna, Mantequilla,55261787593-6,1.36,0.52,15.4,1,1
231, La Fortuna, Queso fresco,33151432097-1,3.04,1.14,10.5,,
232, La Fortuna, Aceitunas verdes,41158232627-4,3.01,0.95,16.9,,
233, La Fortuna, Yogur de frutas,226545746624-3,2.82,1.39,19.5,1,
234, La Fortuna, Champiñones frescos,163799409566-8,3.09,1.17,15.1,,1
235, La Fortuna, Helado de fresa,207182778893-5,4.07,1.37,12.1,,
236, La Fortuna, Cereal de maíz,225708404958-6,2.07,0.76,11.3,,1
237, La Fortuna, Galletas de chocolate,198338636694-7,3.07,1.21,22.7,1,1
238, La Fortuna, Avena instantánea,146111125170-1,2.26,0.96,8.6,,1
239, La Fortuna, Helado de vainilla,200013320027-7,2.53,0.87,17.3,1,1
240, La Fortuna, Galletas de chocolate,77032670915-2,0.99,0.45,7.5,,1
241, La Fortuna, Chocolate negro,115156627475-1,3.33,1.15,22.6,1,
242, La Fortuna, Canela en polvo,47648747146-7,2.97,1.14,10,,1
243, La Fortuna, Vinagre balsámico,167044666825-9,2.42,1.12,6.9,1,1
244, La Fortuna, Miel pura,109557742535-1,3.09,0.95,7.7,1,1
245, La Fortuna, Caldo de pollo,158200524626-5,1.71,0.52,10.4,,
246, La Fortuna, Mantequilla de almendras,29960462747-9,3.68,1.38,19.7,1,
247, La Fortuna, Champiñones frescos,214850107251-8,2.04,0.96,13.7,,
248, La Fortuna, Sopa de tomate,167882008492-2,0.99,0.35,15.4,1,1
249, La Fortuna, Refresco de naranja,75018515407-2,1.82,0.77,21,,
250, La Fortuna, Jugo de piña,219272178351-4,2.97,0.94,14.1,,
251, La Fortuna, Berenjenas,181275008737-6,2.8,1.27,19.5,,
252, La Fortuna, Plátanos maduros,47775534091-8,3.1,1.51,21.7,,
253, La Tradición, Sopa de verduras,172430866538-4,1.02,0.43,19.1,,1
254, La Tradición, Atún en lata,175178254306-7,0.64,0.23,12.2,,1
255, La Tradición, Sopa de verduras,229080449162-1,0.73,0.27,9.1,,1
256, La Tradición, Vinagre balsámico,106099800048-4,3.04,0.93,22.8,1,
257, La Tradición, Café colombiano,144223756611-1,0.61,0.18,7.2,,1
258, La Tradición, Yogur de vainilla,157489969908-4,1.97,0.68,19.5,1,
259, La Tradición, Salsa picante,141136896669-4,2.18,0.95,19.3,1,
260, La Tradición, Jugo de piña,83649972378-7,2.11,0.82,23,,
261, El Buen Sabor, Galletas integrales,132292754470-2,3.87,1.61,18.4,1,
262, El Buen Sabor, Pechuga de pavo,211052692591-1,1.54,0.5,22.1,1,
263, El Buen Sabor, Pollo fresco,188942337095-6,4.35,1.51,14.6,1,
264, El Buen Sabor, Pimientos amarillos,141974238335-1,3.18,1.42,19.6,1,1
265, El Buen Sabor, Zanahorias frescas,49110745251-6,4.14,1.35,11.2,1,1
266, El Paraíso, Ketchup,193364408193-3,1.86,0.86,7.2,,
267, El Paraíso, Mantequilla de almendras,181772878228-4,0.95,0.32,7.3,,
268, El Paraíso, Aceite de oliva,229474209248-6,1.98,0.61,9.7,,
269, El Paraíso, Salmón ahumado,147129541694-4,3.25,1.42,11,,
270, El Paraíso, Frijoles negros,149876929460-1,2.57,0.88,10.2,1,
271, El Paraíso, Sopa de pollo,203779124319-6,2.72,1.31,12.6,1,
272, El Paraíso, Piña en almíbar,80798475204-3,4.48,2.17,7.4,1,
273, El Paraíso, Té verde,118922431767-3,2.5,1.15,9.8,,
274, La Riqueza, Galletas de avena,132188645064-2,4.28,1.9,8.9,,1
275, La Riqueza, Pimientos naranjas,44584564744-6,3.75,1.6,18.3,1,
276, La Riqueza, Té negro,194097640453-4,4.42,1.71,6.5,1,1
277, La Riqueza, Salsa de barbacoa,158589818298-9,2.76,1.34,12.1,,1
278, La Riqueza, Espinacas congeladas,30349756419-2,3.85,1.18,9,1,1
279, La Riqueza, Refresco de naranja,215239400922-7,3.23,1.47,6.8,,1
280, La Riqueza, Aceite de oliva,168271302163-1,2.07,0.84,6.6,,
281, La Riqueza, Manzanas rojas,75407809078-1,3.01,1.28,10.6,1,1
282, La Riqueza, Leche entera,219661472021-7,1.07,0.41,14.3,1,
283, El Diamante, Jugo de arándano,208069942055-1,3.13,1.09,18.4,1,1
284, El Diamante, Pechuga de pavo,74570467412-5,1.13,0.55,8.1,,1
285, El Diamante, Pasas de uva,199225799856-7,2.13,0.78,10.3,,1
286, El Diamante, Carne molida,146998288333-9,1.63,0.69,8.7,1,
287, El Diamante, Salmón ahumado,23076188146-6,1.79,0.69,12.3,1,1
288, El Diamante, Pechuga de pavo,107095539032-7,3.28,1.55,19.8,,
289, El Diamante, Helado de vainilla,90244596302-6,1.57,0.67,8.4,,
290, El Diamante, Cereal de arroz,103510809600-4,1.95,0.71,6.4,1,
291, El Diamante, Refresco de naranja,70881628572-8,2.54,1.01,9.7,,
292, El Diamante, Leche entera,220394704281-8,2.07,0.78,8,,1
293, El Diamante, Mantequilla,62037486373-1,1.83,0.54,11.1,,
294, El Diamante, Salsa de pescado,85822525202-8,1.51,0.51,11.4,,1
295, El Diamante, Mantequilla de maní,63712169705-9,3.57,1.35,9.9,1,1
296, El Diamante, Jugo de arándano,144789313257-2,0.57,0.26,11.6,1,
297, El Diamante, Pasas de uva,51925820170-5,1.03,0.41,18.3,,1
298, El Diamante, Mantequilla,141204583822-3,3.24,1.25,18.6,,1
299, El Diamante, Fresas frescas,184587953149-6,1.92,0.87,17.4,,
300, El Diamante, Pasta de trigo,51088478503-2,3.37,1.63,17.6,1,
301, El Diamante, Pimientos verdes,175743810950-7,0.61,0.26,11.3,,1
302, El Diamante, Mermelada de frambuesa,123516299426-1,3.95,1.4,14.4,1,
303, El Diamante, Café colombiano,25393393575-5,2.96,1,14.3,1,1
304, El Diamante, Mantequilla de almendras,109412744460-9,2.17,0.82,10.6,1,
305, El Diamante, Mantequilla de almendras,66762607394-3,3.88,1.73,7.1,,1
306, El Diamante, Fresas frescas,80028820691-2,4.54,1.66,17.3,,1
307, El Diamante, Queso cheddar,47399639666-8,1.7,0.72,19.1,,1
308, El Diamante, Salmón ahumado,141937816083-5,2.5,1.01,9.3,,1
309, El Diamante, Pasas de uva,38555497466-1,4.15,1.35,19.6,1,1
310, El Diamante, Jugo de arándano,62340536295-1,0.87,0.37,11.3,1,1
311, El Diamante, Plátanos maduros,40230180799-3,2.46,0.76,10.2,,
312, La Primavera, Helado de fresa,48236981332-4,2.44,0.75,13.2,1,
313, La Primavera, Arándanos frescos,26624495326-4,3.26,1.55,7.5,,1
314, La Primavera, Champiñones frescos,115903258979-7,2.12,0.92,9.7,,1
315, La Primavera, Refresco de toronja,159286628306-8,1.1,0.44,16.3,,
316, La Primavera, Pan blanco,177812254368-2,1.5,0.62,7.6,1,
317, La Primavera, Chocolate negro,150442486106-7,2.5,1.23,13.8,1,
318, La Primavera, Huevos orgánicos,98214974580-5,2.83,1.09,18.7,1,
319, La Primavera, Jugo de arándano,207092068731-4,1.83,0.67,10.1,,
320, La Primavera, Jugo de piña,84111419617-9,3.73,1.22,17.2,,
321, La Primavera, Sopa de pollo,67260476887-8,2.76,0.91,13.9,1,
322, La Primavera, Salsa picante,80526690184-1,3.41,1.04,13.4,,
323, Don Juan, Chocolate negro,174123415530-3,4.01,1.39,16.2,,1
324, Don Juan, Cereal de arroz,116636491239-2,2.26,0.96,7.8,,
325, Don Juan, Cebollas blancas,165279273331-8,1.73,0.74,20.1,1,
326, Don Juan, Salsa de soja,37039211452-2,2.83,1.01,9.3,1,
327, Tío Paco, Yogur de vainilla,221928855955-9,0.69,0.29,9,,1
328, Tío Paco, Agua mineral,229935656486-9,1.44,0.5,12.2,1,
329, Tío Paco, Huevos orgánicos,137072163401-1,1.99,0.72,11.4,1,1
330, Tío Paco, Tostadas de trigo,226350927054-4,4.56,1.94,7.8,,
331, Tío Paco, Atún en lata,133378858147-6,3.24,1.42,16.7,,
332, Tío Paco, Cereal de avena,151904484211-4,2.53,0.97,9.8,,
333, Tío Paco, Espaguetis de trigo integral,124534715950-8,1.51,0.65,18.8,,1
334, Tío Paco, Yogur de frutas,72307204424-9,0.89,0.44,9.5,1,
335, Tío Paco, Mantequilla de almendras,181184298575-6,4.28,1.48,9.2,1,
336, Tío Paco, Salsa de tomate,58203649460-6,1.32,0.41,13.8,1,
337, Tío Paco, Pan integral,41352706728-2,0.86,0.35,8.8,1,1
338, Tío Paco, Champiñones frescos,54618920028-8,0.65,0.25,17.7,1,
339, Tío Paco, Mantequilla de coco,174014839708-4,1.6,0.78,22.4,1,1
340, Tío Paco, Vinagre balsámico,116527915417-3,0.72,0.34,16.8,1,1
341, Tío Paco, Carne molida,139371503172-8,3.17,1.15,22.8,,
342, Tío Paco, Helado de chocolate,218131441293-9,1.72,0.57,14.9,1,1
343, Tío Paco, Mantequilla de maní,196021085797-1,2.63,0.8,9,,
344, Tío Paco, Almendras naturales,204027886330-2,2.61,1.17,11,1,1
345, Tío Paco, Refresco de naranja,56189493953-9,2.42,0.84,18.5,1,1
346, Tío Paco, Berenjenas,200443156897-8,2.43,0.77,16.4,,
347, Tío Paco, Pimientos rojos,36826526224-5,1.37,0.5,12.4,,1
348, Tío Paco, Arroz blanco,55352152286-9,1.41,0.52,8.4,1,
349, La Granja, Aceite de oliva,150831779778-4,2.68,1.11,9.1,,1
350, La Granja, Galletas de avena,98604268252-8,1.87,0.67,16.1,1,
351, La Huerta, Mostaza,152506463110-8,3.16,0.97,20.6,1,
352, La Calidad, Leche entera,84500713288-2,0.77,0.26,11.1,,
353, La Calidad, Tostadas de trigo,67649770556-5,1.8,0.78,9.2,1,
354, El Galeón, Plátanos maduros,80915983854-2,2.58,0.82,10.3,,
355, El Galeón, Sopa de tomate,200311903536-5,0.93,0.38,12.8,,
356, El Galeón, Almendras naturales,142824979245-3,2.7,0.94,9.2,1,
357, El Galeón, Vinagre balsámico,191467761337-7,2.06,0.97,12.8,1,1
358, El Galeón, Espinacas congeladas,37428505121-3,4.3,1.4,20.3,,
359, El Galeón, Mostaza,222318149624-3,1.51,0.46,21.9,1,
360, El Galeón, Sopa de pollo,23324950157-6,1.5,0.58,10.3,1,1
